time,latitude,longitude,depth,magType,mag,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-22T07:28:45.520Z,-29.4962,-111.5667,10,mb,5,,119,2.991,1.28,us,us20005ksq,2016-04-22T07:48:27.964Z,Easter Island region,earthquake,12,1.9,0.037,232,reviewed,us,us
2018-04-22T05:45:48.700Z,19.5177,-65.7136,109,Md,3.7,11,295.2,1.27111613,0.5,pr,pr16113001,2016-04-22T06:27:18.354Z,"121km N of Loiza, Puerto Rico",earthquake,8.5,12.7,0,4,reviewed,pr,pr
2018-04-22T05:28:24.960Z,40.5262,144.6629,28.24,mb,4.5,,134,1.87,0.45,us,us20005krv,2016-04-22T05:54:49.811Z,"251km ENE of Miyako, Japan",earthquake,4.8,6.4,0.113,23,reviewed,us,us
2018-04-22T04:47:49.010Z,-7.042,129.6734,154.21,mb,5,,43,4.832,0.92,us,us20005krh,2016-04-22T05:06:32.647Z,"207km WNW of Saumlaki, Indonesia",earthquake,8.1,3.9,0.068,69,reviewed,us,us
2018-04-22T04:32:48.000Z,57.9775,-155.6033,100,ml,3.1,,,,,ak,ak13490227,2016-04-22T05:23:24.519Z,"100km SE of King Salmon, Alaska",earthquake,,,,,automatic,ak,ak
2018-04-22T04:31:34.060Z,-0.4151,-80.5863,10.98,mb,5,,97,2.09,1.12,us,us20005krb,2016-04-22T04:50:54.010Z,"27km NW of Bahia de Caraquez, Ecuador",earthquake,6.5,4.3,0.032,316,reviewed,us,us
2018-04-22T04:14:53.100Z,18.403,-64.4131,94,Md,2.5,3,349.2,0.34764801,0.23,pr,pr16113002,2016-04-22T07:44:56.636Z,"21km E of Road Town, British Virgin Islands",earthquake,10.3,1.9,0,3,reviewed,pr,pr
2018-04-22T03:20:13.330Z,-0.2879,-80.5089,10,mwp,5.8,,77,2.03,0.76,us,us20005kqp,2016-04-22T23:27:13.000Z,"36km NNW of Bahia de Caraquez, Ecuador",earthquake,6,1.9,,,reviewed,us,us
2018-04-22T03:03:41.610Z,-0.3283,-80.5427,10,mwp,6,,77,2.069,1.09,us,us20005kqh,2016-04-22T23:25:41.000Z,"33km NNW of Bahia de Caraquez, Ecuador",earthquake,6.3,1.8,0.018,334,reviewed,us,us
2018-04-22T03:00:39.910Z,36.856,-97.6244,5,mb_lg,2.8,,38,0.188,0.47,us,us20005kqf,2016-04-22T03:09:19.246Z,"11km ENE of Medford, Oklahoma",earthquake,1.6,2,0.066,60,reviewed,us,us
2018-04-22T02:43:06.900Z,10.0464,93.8693,44.12,mb,4.6,,211,1.944,0.74,us,us20005kqe,2016-04-22T03:48:15.489Z,"217km SE of Port Blair, India",earthquake,8.7,11.4,0.141,15,reviewed,us,us
2018-04-22T01:41:48.400Z,19.1912,-64.4363,44,Md,3.1,8,316.8,0.91179001,0.38,pr,pr16113000,2016-04-22T04:27:52.212Z,"87km NNE of Road Town, British Virgin Islands",earthquake,9.1,22.8,0,5,reviewed,pr,pr
